バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,679,YOIYOI,愛媛県,822,WANI,愛媛県,1129,UME-G-,愛媛県
1st&substream,RUGGED ASH,353,YOIYOI,愛媛県,345,D$ZERO,愛媛県,1061,-KEN5-,愛媛県
1st&substream,R3,631,Z0RA,愛媛県,712,Z0RA,愛媛県,891,GAZAMI,愛媛県
1st&substream,PARANOIA MAX～DIRTY MIX～,524,YOIYOI,愛媛県,637,YOIYOI,愛媛県,1066,UME-G-,愛媛県
1st&substream,Macho Gang,327,YOIYOI,愛媛県,933,WANI,愛媛県,1602,GAZAMI,愛媛県
1st&substream,KEEP ON MOVIN',182,*315*,愛媛県,235,RMHTT,愛媛県,0,,未設定
1st&substream,GRADIUSIC CYBER,764,Z.O.E.,愛媛県,855,ZETTON,愛媛県,1160,HIBARI,愛媛県
1st&substream,GENOM SCREAMS,346,YOIYOI,愛媛県,668,TAKOSS,愛媛県,1047,HINO.S,愛媛県
1st&substream,GAMBOL,265,MT2Y0H,愛媛県,268,GONTA#,愛媛県,0,,未設定
1st&substream,Dr.LOVE,382,YOIYOI,愛媛県,441,29*,愛媛県,564,UME-G-,愛媛県
1st&substream,deep in you,434,YOIYOI,愛媛県,452,A.K,愛媛県,650,UME-G-,愛媛県
1st&substream,BRILLIANT 2U,472,YOS,愛媛県,547,YOIYOI,愛媛県,708,UME-G-,愛媛県
1st&substream,5.1.1.,194,SERAFI,愛媛県,949,MIKAN*,愛媛県,1532,UME-G-,愛媛県
1st&substream,22DUNK,462,YOIYOI,愛媛県,511,D$ZERO,愛媛県,640,UME-G-,愛媛県
2nd style,SP-TRIP MACHINE(for beatmania II),479,YOIYOI,愛媛県,520,YOIYOI,愛媛県,638,HINA.S,愛媛県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),524,YOIYOI,愛媛県,855,-KEN5-,愛媛県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),806,MT2Y0H,愛媛県,955,GETCHU,愛媛県,1172,HINO.S,愛媛県
2nd style,I Was The One,530,Z0RA,愛媛県,615,MIKAN*,愛媛県,684,UME-G-,愛媛県
2nd style,Electro Tuned(the SubS mix),622,YOIYOI,愛媛県,888,MIKAN*,愛媛県,1054,HINO.S,愛媛県
