バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,773,L*RCHE,福岡県,1008,MSTK,福岡県,1145,SOSEI,福岡県
1st&substream,RUGGED ASH,363,HIJIRI,福岡県,388,WAIV,福岡県,1080,DETTEU,福岡県
1st&substream,R3,635,SSS,福岡県,717,TARKUS,福岡県,895,SOSEI,福岡県
1st&substream,PARANOIA MAX～DIRTY MIX～,551,L*RCHE,福岡県,717,YUKINO,福岡県,1098,DETTEU,福岡県
1st&substream,Macho Gang,370,SSS,福岡県,1017,AADA,福岡県,1592,SOSEI,福岡県
1st&substream,KEEP ON MOVIN',195,SSS,福岡県,243,DE4KEN,福岡県,0,,未設定
1st&substream,GRADIUSIC CYBER,802,TAITYO,福岡県,931,K&K&K?,福岡県,1187,DETTEU,福岡県
1st&substream,GENOM SCREAMS,398,KYUKAN,福岡県,768,RV*B.L,福岡県,1061,SOSEI,福岡県
1st&substream,GAMBOL,274,U&K,福岡県,273,D,福岡県,0,,未設定
1st&substream,Dr.LOVE,401,HIJIRI,福岡県,502,K&K&K?,福岡県,574,SOSEI,福岡県
1st&substream,deep in you,474,KUON,福岡県,494,PIE106,福岡県,658,SOSEI,福岡県
1st&substream,BRILLIANT 2U,520,PIE106,福岡県,637,L*RCHE,福岡県,721,TNK48,福岡県
1st&substream,5.1.1.,197,DETTEU,福岡県,954,K&K&K?,福岡県,1568,SOSEI,福岡県
1st&substream,22DUNK,463,OTYUA,福岡県,603,NOYAN,福岡県,649,SOSEI,福岡県
2nd style,SP-TRIP MACHINE(for beatmania II),476,GA9UT0,福岡県,608,L*RCHE,福岡県,644,TARKUS,福岡県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),529,TAITYO,福岡県,853,TNK48,福岡県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),822,L*RCHE,福岡県,1066,TEPPEI,福岡県,1214,SOSEI,福岡県
2nd style,I Was The One,533,SSS,福岡県,618,SSS,福岡県,689,DETTEU,福岡県
2nd style,Electro Tuned(the SubS mix),755,L*RCHE,福岡県,854,SHOW,福岡県,1060,SUZAKU,福岡県
2nd style,Digital MinD(A/T Libra mix),699,L*RCHE,福岡県,929,TAKA,福岡県,1114,Y.SEA,福岡県
2nd style,Dancin' Into The Night,424,SSS,福岡県,467,TNK48,福岡県,0,,未設定
2nd style,.59,666,TAITYO,福岡県,1001,USA,福岡県,1130,SUZAKU,福岡県
3rd style,THE SAFARI,1158,L*RCHE,福岡県,1747,TNK48,福岡県,0,,未設定
3rd style,Tangerine Stream,278,CO&DAI,福岡県,395,TIHAYA,福岡県,0,,未設定
3rd style,Skyscraper,675,TAITYO,福岡県,1124,MYAU,福岡県,1241,SOSEI,福岡県
3rd style,Schlagwerk,762,TAITYO,福岡県,1197,SHOW,福岡県,1665,SUZAKU,福岡県
3rd style,REINCARNATION,783,CAPTON,福岡県,1009,TEPPEI,福岡県,1264,SOSEI,福岡県
3rd style,R5,746,LEVEL6,福岡県,1145,RV*B.L,福岡県,1762,TIHAYA,福岡県
3rd style,Presto,518,WAIV,福岡県,966,RV*B.L,福岡県,1003,SOSEI,福岡県
3rd style,LEADING CYBER,821,WAIV,福岡県,1158,NOYAN,福岡県,1268,SOSEI,福岡県
3rd style,Holic,763,L*RCHE,福岡県,1164,K&K&K?,福岡県,1707,MASSY.,福岡県
3rd style,era (nostalmix),806,L*RCHE,福岡県,1055,RV*B.L,福岡県,1518,SUZAKU,福岡県
3rd style,Don't Stop!,753,L*RCHE,福岡県,829,SSS,福岡県,899,TARKUS,福岡県
3rd style,CAN'T STOP FALLIN'IN LOVE,583,PIE106,福岡県,1239,DETTEU,福岡県,0,,未設定
4th style,Voltage (feat. Hidemaru),890,TSR,福岡県,1115,YUKINO,福岡県,1305,SOSEI,福岡県
4th style,ULTRA HIGH-HEELS,706,WAIV,福岡県,884,TEPPEI,福岡県,992,SOSEI,福岡県
4th style,SWEET LAB,527,Z1Z1-M,福岡県,894,SSS,福岡県,1338,TIHAYA,福岡県
4th style,starmine,832,YOS,福岡県,1310,*NOBU*,福岡県,1572,TIHAYA,福岡県
4th style,Nasty!,527,GA9UT0,福岡県,882,L*RCHE,福岡県,1542,DETTEU,福岡県
4th style,Mr.T.(take me higher),813,L*RCHE,福岡県,976,L*RCHE,福岡県,1750,DETTEU,福岡県
4th style,minimalian,507,TAITYO,福岡県,1059,RV*B.L,福岡県,1398,SOSEI,福岡県
4th style,LOVE WILL・・・,528,SSS,福岡県,737,SSS,福岡県,1455,SOSEI,福岡県
4th style,KAMIKAZE,964,WAIV,福岡県,1437,TEPPEI,福岡県,2256,TIHAYA,福岡県
4th style,Jam&Marmalade,709,GA9UT0,福岡県,863,YUKINO,福岡県,1005,DETTEU,福岡県
4th style,Hitch Hiker2,781,YOS,福岡県,1087,RHYME.,福岡県,1312,TNK48,福岡県
4th style,HIGHER,511,YOS,福岡県,933,DETTEU,福岡県,1274,DETTEU,福岡県
4th style,FLOWERS for ALBION,236,K&K&K?,福岡県,432,A.R.,福岡県,0,,未設定
4th style,era (step mix),1040,57577,福岡県,1324,SSS,福岡県,1676,SUZAKU,福岡県
4th style,empathy,779,GA9UT0,福岡県,1241,WAIV,福岡県,1450,DETTEU,福岡県
4th style,DXY!,1152,GA9UT0,福岡県,1760,8N240U,福岡県,2194,DETTEU,福岡県
4th style,Clione†,0,,未設定,0,,未設定,2130,SOMORI,福岡県
