バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,752,5.1.1.,宮崎県,934,5.1.1.,宮崎県,1122,AZUSA,宮崎県
1st&substream,RUGGED ASH,351,5.1.1.,宮崎県,365,MARU-9,宮崎県,937,SIRASU,宮崎県
1st&substream,R3,587,5.1.1.,宮崎県,693,BENT,宮崎県,844,AZUSA,宮崎県
1st&substream,PARANOIA MAX～DIRTY MIX～,496,5.1.1.,宮崎県,698,BENT,宮崎県,1001,FIA,宮崎県
1st&substream,Macho Gang,367,5.1.1.,宮崎県,880,MARU-9,宮崎県,1550,AZUSA,宮崎県
1st&substream,KEEP ON MOVIN',193,5.1.1.,宮崎県,233,HAZU,宮崎県,0,,未設定
1st&substream,GRADIUSIC CYBER,817,5.1.1.,宮崎県,857,URA4MA,宮崎県,1111,HAZU,宮崎県
1st&substream,GENOM SCREAMS,395,5.1.1.,宮崎県,724,BENT,宮崎県,979,S.RUKI,宮崎県
1st&substream,GAMBOL,265,5.1.1.,宮崎県,267,SILVIA,宮崎県,0,,未設定
1st&substream,Dr.LOVE,383,5.1.1.,宮崎県,476,ZACO,宮崎県,542,HAZU,宮崎県
1st&substream,deep in you,482,5.1.1.,宮崎県,447,MARU-9,宮崎県,598,HAZU,宮崎県
1st&substream,BRILLIANT 2U,486,5.1.1.,宮崎県,577,MARU-9,宮崎県,669,HAZU,宮崎県
1st&substream,5.1.1.,193,B-,宮崎県,919,MARU-9,宮崎県,1515,AZUSA,宮崎県
1st&substream,22DUNK,468,MARU-9,宮崎県,585,URA4MA,宮崎県,612,HAZU,宮崎県
2nd style,SP-TRIP MACHINE(for beatmania II),498,BENT,宮崎県,589,5.1.1.,宮崎県,607,MARIMO,宮崎県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),536,MARU-9,宮崎県,800,BENT,宮崎県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),796,5.1.1.,宮崎県,939,MARU-9,宮崎県,1076,YOHANE,宮崎県
2nd style,I Was The One,519,5.1.1.,宮崎県,597,5.1.1.,宮崎県,650,HAZU,宮崎県
2nd style,Electro Tuned(the SubS mix),714,5.1.1.,宮崎県,869,405LAB,宮崎県,1008,S.RUKI,宮崎県
