バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,719,5UP1C4,沖縄県,1009,F1VE,沖縄県,1150,WING.,沖縄県
1st&substream,RUGGED ASH,359,*993!*,沖縄県,384,DAI5,沖縄県,1089,WING.,沖縄県
1st&substream,R3,629,PQR*,沖縄県,698,BUTCH!,沖縄県,900,WING.,沖縄県
1st&substream,PARANOIA MAX～DIRTY MIX～,515,HADES.,沖縄県,712,TRUCKS,沖縄県,1106,WING.,沖縄県
1st&substream,Macho Gang,358,H.U.,沖縄県,1005,F1VE,沖縄県,1626,WING.,沖縄県
1st&substream,KEEP ON MOVIN',194,HIRO*,沖縄県,244,WING.,沖縄県,0,,未設定
1st&substream,GRADIUSIC CYBER,822,DJK,沖縄県,932,BUTCH!,沖縄県,1203,WING.,沖縄県
1st&substream,GENOM SCREAMS,396,TRUCKS,沖縄県,751,TRUCKS,沖縄県,1066,WING.,沖縄県
1st&substream,GAMBOL,271,HIRO*,沖縄県,274,WING.,沖縄県,0,,未設定
1st&substream,Dr.LOVE,395,ROSSA,沖縄県,498,KINO,沖縄県,577,WING.,沖縄県
1st&substream,deep in you,467,TRUCKS,沖縄県,480,BUTCH!,沖縄県,663,WING.,沖縄県
1st&substream,BRILLIANT 2U,520,TRUCKS,沖縄県,635,220YEN,沖縄県,722,WING.,沖縄県
1st&substream,5.1.1.,196,HIRO*,沖縄県,1001,MAR-LH,沖縄県,1566,WING.,沖縄県
1st&substream,22DUNK,476,DJK,沖縄県,596,DJK,沖縄県,656,WING.,沖縄県
2nd style,SP-TRIP MACHINE(for beatmania II),486,TRUCKS,沖縄県,584,TRUCKS,沖縄県,642,WING.,沖縄県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),543,ROSSA,沖縄県,861,WING.,沖縄県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),765,HMD,沖縄県,1006,DJK,沖縄県,1212,WING.,沖縄県
2nd style,I Was The One,528,F1VE,沖縄県,638,A-RIN#,沖縄県,691,WING.,沖縄県
2nd style,Electro Tuned(the SubS mix),727,5UP1C4,沖縄県,855,DJK,沖縄県,1068,WING.,沖縄県
2nd style,Digital MinD(A/T Libra mix),680,CO-,沖縄県,987,MELTON,沖縄県,1129,WING.,沖縄県
2nd style,Dancin' Into The Night,417,K.346P,沖縄県,467,WING.,沖縄県,0,,未設定
2nd style,.59,671,DJK,沖縄県,1001,BUTCH!,沖縄県,1152,WING.,沖縄県
3rd style,THE SAFARI,1167,F1VE,沖縄県,1763,WING.,沖縄県,0,,未設定
3rd style,Tangerine Stream,281,HIRO*,沖縄県,396,WING.,沖縄県,0,,未設定
3rd style,Skyscraper,681,DJK,沖縄県,1169,MOKE,沖縄県,1247,WING.,沖縄県
3rd style,Schlagwerk,753,DJK,沖縄県,1270,BUTCH!,沖縄県,1673,WING.,沖縄県
3rd style,REINCARNATION,800,TRUCKS,沖縄県,917,DJK,沖縄県,1276,WING.,沖縄県
3rd style,R5,709,KINO,沖縄県,1141,NELL.,沖縄県,1759,4RA3NE,沖縄県
3rd style,Presto,509,TRUCKS,沖縄県,944,TORIKO,沖縄県,1005,WING.,沖縄県
3rd style,LEADING CYBER,781,TRUCKS,沖縄県,1164,BUTCH!,沖縄県,1275,WING.,沖縄県
3rd style,Holic,726,DJK,沖縄県,1121,MAR-LH,沖縄県,1716,WING.,沖縄県
3rd style,era (nostalmix),804,DJK,沖縄県,1027,AIREAL,沖縄県,1518,WING.,沖縄県
3rd style,Don't Stop!,715,KIRBY,沖縄県,809,EGS,沖縄県,903,WING.,沖縄県
3rd style,CAN'T STOP FALLIN'IN LOVE,592,NORO,沖縄県,1249,WING.,沖縄県,0,,未設定
