バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,734,EVLEND,香港,981,EVLEND,香港,1128,TMHGKG,香港
1st&substream,RUGGED ASH,360,XIA,香港,377,EVLEND,香港,1068,TMHGKG,香港
1st&substream,R3,644,TMHGKG,香港,710,4BAHT,香港,884,TMHGKG,香港
1st&substream,PARANOIA MAX～DIRTY MIX～,521,EVLEND,香港,575,HANZO!,香港,1082,MIRAGE,香港
1st&substream,Macho Gang,362,CHERRY,香港,1037,QAQ,香港,1551,FUYU,香港
1st&substream,KEEP ON MOVIN',187,NOB!!!,香港,241,MIRAGE,香港,0,,未設定
1st&substream,GRADIUSIC CYBER,833,EVLEND,香港,914,CALFOY,香港,1199,TMHGKG,香港
1st&substream,GENOM SCREAMS,394,LYH87,香港,750,EVLEND,香港,1054,TMHGKG,香港
1st&substream,GAMBOL,265,001,香港,273,MIRAGE,香港,0,,未設定
1st&substream,Dr.LOVE,391,LYH87,香港,494,LYH87,香港,557,MIRAGE,香港
1st&substream,deep in you,475,LYH87,香港,450,LYH87,香港,650,MIRAGE,香港
1st&substream,BRILLIANT 2U,508,LYH87,香港,613,CALFOY,香港,707,MIRAGE,香港
1st&substream,5.1.1.,192,TMHGKG,香港,964,EVLEND,香港,1542,TMHGKG,香港
1st&substream,22DUNK,252,CCA!98,香港,520,HEIIII,香港,643,WFC.,香港
2nd style,SP-TRIP MACHINE(for beatmania II),491,EVLEND,香港,601,EVLEND,香港,637,MIRAGE,香港
2nd style,PUT YOUR FAITH IN ME(for beatmania II),496,YU-QIR,香港,837,MIRAGE,香港,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),858,NOB!!!,香港,1059,EVLEND,香港,1196,TMHGKG,香港
2nd style,I Was The One,526,NOB!!!,香港,621,NOB!!!,香港,684,MIRAGE,香港
2nd style,Electro Tuned(the SubS mix),725,EVLEND,香港,905,EVLEND,香港,1042,MIRAGE,香港
2nd style,Digital MinD(A/T Libra mix),715,EVLEND,香港,1010,EVLEND,香港,1092,MIRAGE,香港
2nd style,Dancin' Into The Night,413,LYH87,香港,461,TMHGKG,香港,0,,未設定
2nd style,.59,495,MOCHIN,香港,955,EVLEND,香港,1122,TMHGKG,香港
3rd style,THE SAFARI,1160,EVLEND,香港,1723,WFC.,香港,0,,未設定
3rd style,Tangerine Stream,276,PANTA*,香港,390,MIRAGE,香港,0,,未設定
3rd style,Skyscraper,703,EVLEND,香港,1104,SABAKI,香港,1228,TMHGKG,香港
3rd style,Schlagwerk,791,EVLEND,香港,1252,EVLEND,香港,1661,MIRAGE,香港
3rd style,REINCARNATION,770,EVLEND,香港,987,MIRAGE,香港,1241,MIRAGE,香港
3rd style,R5,745,EVLEND,香港,1089,KOBATO,香港,1724,TMHGKG,香港
3rd style,Presto,509,EVLEND,香港,956,FOOL!,香港,1004,TMHGKG,香港
3rd style,LEADING CYBER,809,EVLEND,香港,1151,BERTEX,香港,1255,WFC.,香港
3rd style,Holic,728,EVLEND,香港,1186,QAQ,香港,1691,WFC.,香港
3rd style,era (nostalmix),802,EVLEND,香港,985,EVLEND,香港,1477,WFC.,香港
3rd style,Don't Stop!,713,EVLEND,香港,808,EVLEND,香港,881,MIRAGE,香港
3rd style,CAN'T STOP FALLIN'IN LOVE,580,EVLEND,香港,1233,MIRAGE,香港,0,,未設定
4th style,Voltage (feat. Hidemaru),836,EVLEND,香港,1157,QAQ,香港,1280,MIRAGE,香港
4th style,ULTRA HIGH-HEELS,742,TMHGKG,香港,856,EVLEND,香港,983,TMHGKG,香港
4th style,SWEET LAB,544,4BAHT,香港,929,AIRBAG,香港,1335,LAI-,香港
4th style,starmine,882,QAQ,香港,1256,84*,香港,1548,MIRAGE,香港
