バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,789,R1K1,福島県,1037,R1K1,福島県,1141,KOME-S,福島県
1st&substream,RUGGED ASH,369,WRC,福島県,401,R1K1,福島県,1087,KOME-S,福島県
1st&substream,R3,647,R1K1,福島県,733,R1K1,福島県,893,KOME-S,福島県
1st&substream,PARANOIA MAX～DIRTY MIX～,549,R1K1,福島県,750,R1K1,福島県,1099,KOME-S,福島県
1st&substream,Macho Gang,373,R1K1,福島県,1062,R1K1,福島県,1636,UDON-F,福島県
1st&substream,KEEP ON MOVIN',192,R1K1,福島県,242,KOME-S,福島県,0,,未設定
1st&substream,GRADIUSIC CYBER,864,R1K1,福島県,963,R1K1,福島県,1197,KOME-S,福島県
1st&substream,GENOM SCREAMS,420,R1K1,福島県,821,R1K1,福島県,1061,UDON-F,福島県
1st&substream,GAMBOL,274,WRC,福島県,274,KOME-S,福島県,0,,未設定
1st&substream,Dr.LOVE,406,WRC,福島県,517,R1K1,福島県,572,KOME-S,福島県
1st&substream,deep in you,492,R1K1,福島県,504,R1K1,福島県,655,KOME-S,福島県
1st&substream,BRILLIANT 2U,537,R1K1,福島県,655,R1K1,福島県,718,UDON-F,福島県
1st&substream,5.1.1.,198,R1K1,福島県,1017,R1K1,福島県,1549,UDON-F,福島県
1st&substream,22DUNK,508,R1K1,福島県,635,R1K1,福島県,653,R1K1,福島県
2nd style,SP-TRIP MACHINE(for beatmania II),504,R1K1,福島県,618,R1K1,福島県,645,KOME-S,福島県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),569,R1K1,福島県,863,KOME-S,福島県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),869,R1K1,福島県,1105,R1K1,福島県,1200,KOME-S,福島県
2nd style,I Was The One,535,R1K1,福島県,644,R1K1,福島県,690,KOME-S,福島県
2nd style,Electro Tuned(the SubS mix),769,R1K1,福島県,955,R1K1,福島県,1048,KOME-S,福島県
2nd style,Digital MinD(A/T Libra mix),730,R1K1,福島県,1053,R1K1,福島県,1117,KOME-S,福島県
2nd style,Dancin' Into The Night,429,R1K1,福島県,469,KOME-S,福島県,0,,未設定
2nd style,.59,709,R1K1,福島県,993,R1K1,福島県,1140,KOME-S,福島県
3rd style,THE SAFARI,1197,R1K1,福島県,1758,TOSH,福島県,0,,未設定
3rd style,Tangerine Stream,278,WRC,福島県,394,SECIL,福島県,0,,未設定
3rd style,Skyscraper,736,R1K1,福島県,1199,R1K1,福島県,1239,KOME-S,福島県
3rd style,Schlagwerk,810,R1K1,福島県,1304,R1K1,福島県,1678,R1K1,福島県
3rd style,REINCARNATION,839,R1K1,福島県,1014,R1K1,福島県,1263,KOME-S,福島県
3rd style,R5,771,R1K1,福島県,1165,R1K1,福島県,1750,ASA8RA,福島県
3rd style,Presto,535,R1K1,福島県,979,R1K1,福島県,1006,KOME-S,福島県
3rd style,LEADING CYBER,839,R1K1,福島県,1190,R1K1,福島県,1257,KOME-S,福島県
3rd style,Holic,762,R1K1,福島県,1215,R1K1,福島県,1684,TOSH,福島県
3rd style,era (nostalmix),823,R1K1,福島県,1067,R1K1,福島県,1520,SECIL,福島県
3rd style,Don't Stop!,772,R1K1,福島県,854,R1K1,福島県,901,KOME-S,福島県
3rd style,CAN'T STOP FALLIN'IN LOVE,612,R1K1,福島県,1245,KOME-S,福島県,0,,未設定
4th style,Voltage (feat. Hidemaru),925,R1K1,福島県,1224,R1K1,福島県,1313,KOME-S,福島県
4th style,ULTRA HIGH-HEELS,746,R1K1,福島県,908,R1K1,福島県,989,KOME-S,福島県
4th style,SWEET LAB,536,R1K1,福島県,960,KOME-S,福島県,1353,UDON-F,福島県
4th style,starmine,899,R1K1,福島県,1402,R1K1,福島県,1575,KOME-S,福島県
4th style,Nasty!,573,R1K1,福島県,944,R1K1,福島県,1554,UDON-F,福島県
4th style,Mr.T.(take me higher),845,R1K1,福島県,1008,R1K1,福島県,1727,KOME-S,福島県
4th style,minimalian,533,R1K1,福島県,1099,R1K1,福島県,1393,UDON-F,福島県
4th style,LOVE WILL・・・,555,R1K1,福島県,752,R1K1,福島県,1460,KOME-S,福島県
4th style,KAMIKAZE,1019,R1K1,福島県,1474,R1K1,福島県,2279,RICE,福島県
4th style,Jam&Marmalade,760,R1K1,福島県,895,R1K1,福島県,996,KOME-S,福島県
4th style,Hitch Hiker2,824,R1K1,福島県,1182,R1K1,福島県,1312,KOME-S,福島県
4th style,HIGHER,534,R1K1,福島県,927,R1K1,福島県,1278,KOME-S,福島県
4th style,FLOWERS for ALBION,237,WRC,福島県,442,KOME-S,福島県,0,,未設定
4th style,era (step mix),1093,R1K1,福島県,1408,R1K1,福島県,1684,SECIL,福島県
4th style,empathy,822,R1K1,福島県,1326,R1K1,福島県,1453,UDON-F,福島県
4th style,DXY!,1244,R1K1,福島県,1813,R1K1,福島県,2191,UDON-F,福島県
4th style,Clione†,0,,未設定,0,,未設定,2137,TOSH,福島県
4th style,Clione,523,WRC,福島県,948,R1K1,福島県,1604,KOME-S,福島県
4th style,CHECKING YOU OUT,644,R1K1,福島県,909,UDON-F,福島県,1326,UDON-F,福島県
4th style,Burnin' The Floor,579,R1K1,福島県,943,R1K1,福島県,1433,KOME-S,福島県
4th style,Broken My Heart,930,R1K1,福島県,1474,R1K1,福島県,1800,KOME-S,福島県
4th style,B4U,1044,R1K1,福島県,1535,R1K1,福島県,1967,R1K1,福島県
4th style,ABSOLUTE†,0,,未設定,0,,未設定,2683,TOSH,福島県
4th style,ABSOLUTE,1326,R1K1,福島県,1772,R1K1,福島県,2335,SECIL,福島県
4th style,250bpm,677,R1K1,福島県,1007,R1K1,福島県,1385,R1K1,福島県
5th style,V,1270,R1K1,福島県,2504,UDON-F,福島県,2987,UDON-F,福島県
5th style,THE SHINING POLARIS,944,R1K1,福島県,1311,R1K1,福島県,1572,KOME-S,福島県
5th style,THE CUBE,738,R1K1,福島県,1268,R1K1,福島県,1346,UDON-F,福島県
5th style,sync,1079,R1K1,福島県,1910,R1K1,福島県,2349,KOME-S,福島県
5th style,still my words,904,R1K1,福島県,1229,UDON-F,福島県,0,,未設定
5th style,STILL IN MY HEART,1007,R1K1,福島県,1352,ASA8RA,福島県,1894,KOME-S,福島県
5th style,Spin the disc,786,R1K1,福島県,1281,R1K1,福島県,1327,KOME-S,福島県
5th style,RISLIM,901,R1K1,福島県,1216,KOME-S,福島県,0,,未設定
5th style,RIDE ON THE LIGHT (HI GREAT MIX) †,0,,未設定,0,,未設定,1784,R1K1,福島県
5th style,RIDE ON THE LIGHT (HI GREAT MIX),888,R1K1,福島県,1060,R1K1,福島県,1713,ASA8RA,福島県
5th style,Regulus,1051,R1K1,福島県,1514,R1K1,福島県,1680,KOME-S,福島県
5th style,Real,1121,R1K1,福島県,1629,R1K1,福島県,1814,KOME-S,福島県
5th style,Radical Faith,1180,R1K1,福島県,1501,KOME-S,福島県,1280,KOME-S,福島県
5th style,QQQ,1209,R1K1,福島県,1856,R1K1,福島県,2117,KOME-S,福島県
5th style,outer wall,925,R1K1,福島県,1354,R1K1,福島県,1747,R1K1,福島県
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,762,R1K1,福島県,990,R1K1,福島県,1119,KOME-S,福島県
5th style,in my eyes,950,R1K1,福島県,1455,R1K1,福島県,1570,KOME-S,福島県
5th style,Abyss,1256,R1K1,福島県,1604,R1K1,福島県,1857,KOME-S,福島県
6th style,電人イェーガーのテーマ(Theme of DENJIN J),1103,R1K1,福島県,1562,R1K1,福島県,0,,未設定
6th style,こっちを向いてよ,844,R1K1,福島県,1260,R1K1,福島県,1371,KOME-S,福島県
6th style,Take It Easy,1458,R1K1,福島県,2349,R1K1,福島県,2496,TOSH,福島県
6th style,Summer Vacation(CU mix),1266,R1K1,福島県,1810,R1K1,福島県,0,,未設定
6th style,SOMETHING WONDERFUL,916,R1K1,福島県,1343,R1K1,福島県,1964,ASA8RA,福島県
6th style,route 80s,885,R1K1,福島県,1201,R1K1,福島県,1491,KOME-S,福島県
6th style,rottel-da-sun,802,R1K1,福島県,1336,R1K1,福島県,1838,KOME-S,福島県
6th style,NEMESIS,1012,R1K1,福島県,1594,R1K1,福島県,1841,ASA8RA,福島県
6th style,Linus,954,R1K1,福島県,1538,R1K1,福島県,2154,KOME-S,福島県
6th style,G2,1436,R1K1,福島県,1772,R1K1,福島県,2258,ASA8RA,福島県
6th style,Frozen Ray (original mix),1277,R1K1,福島県,1723,R1K1,福島県,1784,KOME-S,福島県
6th style,Free Style,901,R1K1,福島県,1069,R1K1,福島県,1299,KOME-S,福島県
6th style,fly through the night,884,R1K1,福島県,1333,R1K1,福島県,1700,UDON-F,福島県
6th style,DIVE ～INTO YOUR HEART～,1272,R1K1,福島県,1829,R1K1,福島県,2062,R1K1,福島県
6th style,Colors (radio edit),1470,R1K1,福島県,1920,R1K1,福島県,2395,UDON-F,福島県
6th style,Buffalo,997,R1K1,福島県,1443,R1K1,福島県,1784,UDON-F,福島県
6th style,Blueberry Stream,815,R1K1,福島県,1472,R1K1,福島県,1625,UDON-F,福島県
6th style,BALLAD FOR YOU～想いの雨～,583,R1K1,福島県,770,R1K1,福島県,1073,KOME-S,福島県
6th style,"19,November",1090,R1K1,福島県,1453,R1K1,福島県,1787,KOME-S,福島県
7th style,革命,764,R1K1,福島県,1940,TOSH,福島県,2264,KOME-S,福島県
7th style,ZERO-ONE,1066,R1K1,福島県,1679,R1K1,福島県,2212,ASA8RA,福島県
7th style,traces,1491,R1K1,福島県,1888,R1K1,福島県,2119,R1K1,福島県
7th style,Tomorrow Perfume,1285,R1K1,福島県,1901,R1K1,福島県,2084,KOME-S,福島県
7th style,stoic,1636,R1K1,福島県,2389,R1K1,福島県,2518,UDON-F,福島県
7th style,Spica,651,R1K1,福島県,1490,R1K1,福島県,2190,TOSH,福島県
7th style,MAX 300,1098,R1K1,福島県,1894,UDON-F,福島県,0,,未設定
7th style,Love Me Do,1116,R1K1,福島県,1687,R1K1,福島県,2103,UDON-F,福島県
7th style,Let the Snow Paint Me,860,R1K1,福島県,1064,R1K1,福島県,1244,KOME-S,福島県
7th style,Last Message,1004,R1K1,福島県,1328,R1K1,福島県,1590,SECIL,福島県
7th style,Happy Wedding,1198,R1K1,福島県,1660,R1K1,福島県,1813,UDON-F,福島県
7th style,Glorious Days,508,R1K1,福島県,805,R1K1,福島県,908,KOME-S,福島県
7th style,foreplay,691,R1K1,福島県,1181,R1K1,福島県,1328,UDON-F,福島県
7th style,DESTINY,1068,R1K1,福島県,1382,R1K1,福島県,1836,KOME-S,福島県
7th style,D2R,956,R1K1,福島県,1281,R1K1,福島県,1625,KOME-S,福島県
7th style,Cheer Train,918,R1K1,福島県,1208,R1K1,福島県,1694,KOME-S,福島県
7th style,Burning Heat! (Full Option Mix),698,R1K1,福島県,966,R1K1,福島県,1460,KOME-S,福島県
7th style,Bad Routine,1024,R1K1,福島県,1397,R1K1,福島県,1910,KOME-S,福島県
7th style,AVE DE RAPINA,1341,R1K1,福島県,1671,R1K1,福島県,1825,KOME-S,福島県
