バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,741,KONOHA,岐阜県,961,DAI,岐阜県,1142,SWOOPS,岐阜県
1st&substream,RUGGED ASH,353,KOTORI,岐阜県,394,CHAM,岐阜県,1059,NOY,岐阜県
1st&substream,R3,587,ONOZU,岐阜県,721,K.,岐阜県,895,AMER,岐阜県
1st&substream,PARANOIA MAX～DIRTY MIX～,480,TRUMOO,岐阜県,699,KOTORI,岐阜県,1088,NOY,岐阜県
1st&substream,Macho Gang,356,DOG,岐阜県,1018,SEMI0T,岐阜県,1558,SUMMIT,岐阜県
1st&substream,KEEP ON MOVIN',193,NOY,岐阜県,244,YUUNA,岐阜県,0,,未設定
1st&substream,GRADIUSIC CYBER,700,KYO*,岐阜県,932,DAI,岐阜県,1160,NOY,岐阜県
1st&substream,GENOM SCREAMS,387,YUE.*,岐阜県,819,SHIKI,岐阜県,1038,K.,岐阜県
1st&substream,GAMBOL,272,NOY,岐阜県,274,YUUNA,岐阜県,0,,未設定
1st&substream,Dr.LOVE,393,DOG,岐阜県,477,DOG,岐阜県,574,NOY,岐阜県
1st&substream,deep in you,436,QOOTAN,岐阜県,456,DOG,岐阜県,649,NOY,岐阜県
1st&substream,BRILLIANT 2U,491,ONOZU,岐阜県,610,YUE.*,岐阜県,713,YUUNA,岐阜県
1st&substream,5.1.1.,198,NOY,岐阜県,1001,METALN,岐阜県,1554,CHERIE,岐阜県
1st&substream,22DUNK,476,DOG,岐阜県,565,MI2PIN,岐阜県,649,YUUNA,岐阜県
2nd style,SP-TRIP MACHINE(for beatmania II),472,JIO,岐阜県,604,GMT.RK,岐阜県,640,YUUNA,岐阜県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),546,DOG,岐阜県,845,YUUNA,岐阜県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),775,DOG,岐阜県,1003,JIO,岐阜県,1187,SUMMIT,岐阜県
2nd style,I Was The One,521,KONOHA,岐阜県,616,DOG,岐阜県,690,NOY,岐阜県
2nd style,Electro Tuned(the SubS mix),698,ROLES,岐阜県,807,TRUMOO,岐阜県,1049,NOY,岐阜県
2nd style,Digital MinD(A/T Libra mix),677,DOG,岐阜県,844,ONOZU,岐阜県,1105,YUUNA,岐阜県
2nd style,Dancin' Into The Night,391,TAKIKO,岐阜県,469,YUUNA,岐阜県,0,,未設定
2nd style,.59,599,COLORS,岐阜県,942,JIO,岐阜県,1133,AMER,岐阜県
3rd style,THE SAFARI,1133,YUE.*,岐阜県,1743,S.A,岐阜県,0,,未設定
3rd style,Tangerine Stream,280,NOY,岐阜県,396,YUUNA,岐阜県,0,,未設定
3rd style,Skyscraper,695,JIO,岐阜県,1105,A3*J,岐阜県,1235,NOY,岐阜県
3rd style,Schlagwerk,728,ONOZU,岐阜県,1185,KOTORI,岐阜県,1678,AMER,岐阜県
3rd style,REINCARNATION,772,ONOZU,岐阜県,1033,AMER,岐阜県,1267,NOY,岐阜県
3rd style,R5,759,NE63..,岐阜県,1152,NE63..,岐阜県,1751,NE63..,岐阜県
3rd style,Presto,510,YUE.*,岐阜県,969,SUMMIT,岐阜県,993,AMER,岐阜県
3rd style,LEADING CYBER,778,JIO,岐阜県,1023,NOY,岐阜県,1241,K.,岐阜県
3rd style,Holic,673,KAZUMO,岐阜県,1209,UZUKI,岐阜県,1673,K.,岐阜県
3rd style,era (nostalmix),832,NE63..,岐阜県,1088,NE63..,岐阜県,1501,NE63..,岐阜県
3rd style,Don't Stop!,726,JIO,岐阜県,793,SIGURE,岐阜県,899,YUUNA,岐阜県
3rd style,CAN'T STOP FALLIN'IN LOVE,588,JIO,岐阜県,1237,S.A,岐阜県,0,,未設定
4th style,Voltage (feat. Hidemaru),878,NE63..,岐阜県,1217,NOY,岐阜県,1310,YUUNA,岐阜県
4th style,ULTRA HIGH-HEELS,713,KANO,岐阜県,842,SIGURE,岐阜県,980,YUUNA,岐阜県
4th style,SWEET LAB,523,KONOHA,岐阜県,891,MEGANE,岐阜県,1285,SINOBU,岐阜県
4th style,starmine,824,KMCY,岐阜県,1390,NOY,岐阜県,1573,S.A,岐阜県
4th style,Nasty!,480,MIKA,岐阜県,938,SHIKI2,岐阜県,1523,NOY,岐阜県
4th style,Mr.T.(take me higher),819,KONOHA,岐阜県,787,KYO*,岐阜県,1725,K.,岐阜県
4th style,minimalian,442,ONOZU,岐阜県,1015,IIDX25,岐阜県,1378,NOY,岐阜県
4th style,LOVE WILL・・・,468,COLORS,岐阜県,692,2030,岐阜県,1458,NOY,岐阜県
4th style,KAMIKAZE,910,ONOZU,岐阜県,1374,JACK3-,岐阜県,2250,S.A,岐阜県
4th style,Jam&Marmalade,695,YUE.*,岐阜県,886,JACK3-,岐阜県,1001,YUKIA2,岐阜県
4th style,Hitch Hiker2,773,JIO,岐阜県,1165,AMER,岐阜県,1299,NOY,岐阜県
4th style,HIGHER,478,KAZUMO,岐阜県,833,ONOZU,岐阜県,1262,SHIKI2,岐阜県
4th style,FLOWERS for ALBION,221,AFURO3,岐阜県,436,YUUNA,岐阜県,0,,未設定
4th style,era (step mix),841,KYO*,岐阜県,1364,NE63..,岐阜県,1658,AMER,岐阜県
4th style,empathy,686,KYO*,岐阜県,1292,NE63..,岐阜県,1415,YUUNA,岐阜県
4th style,DXY!,1127,32,岐阜県,1837,NOY,岐阜県,2168,SUMMIT,岐阜県
4th style,Clione†,0,,未設定,0,,未設定,2116,AMER,岐阜県
4th style,Clione,436,SHOBON,岐阜県,854,32,岐阜県,1578,NOY,岐阜県
4th style,CHECKING YOU OUT,575,NE63..,岐阜県,875,AMER,岐阜県,1296,S.A,岐阜県
4th style,Burnin' The Floor,578,AMER,岐阜県,873,2030,岐阜県,1417,NOY,岐阜県
4th style,Broken My Heart,854,JIO,岐阜県,1476,NOY,岐阜県,1774,K.,岐阜県
4th style,B4U,900,DOG,岐阜県,1518,SWOOPS,岐阜県,1972,K.,岐阜県
4th style,ABSOLUTE†,0,,未設定,0,,未設定,2646,AMER,岐阜県
4th style,ABSOLUTE,1193,JIO,岐阜県,1801,NOY,岐阜県,2321,AMER,岐阜県
4th style,250bpm,559,PERIO,岐阜県,1003,NOY,岐阜県,1334,AMER,岐阜県
5th style,V,1235,NE63..,岐阜県,2483,S.A,岐阜県,2877,S.A,岐阜県
5th style,THE SHINING POLARIS,795,KAZUMO,岐阜県,1294,UZUKI,岐阜県,1557,SINOBU,岐阜県
5th style,THE CUBE,686,TRUMOO,岐阜県,1208,YUE.*,岐阜県,1325,NOY,岐阜県
5th style,sync,1009,TAIAI,岐阜県,1888,NOY,岐阜県,2344,S.A,岐阜県
5th style,still my words,713,9ZUHA,岐阜県,1222,YUUNA,岐阜県,0,,未設定
5th style,STILL IN MY HEART,910,ONOZU,岐阜県,1355,NOY,岐阜県,1855,YUUNA,岐阜県
5th style,Spin the disc,698,JIO,岐阜県,1279,SUMMIT,岐阜県,1319,NOY,岐阜県
5th style,RISLIM,882,KONOHA,岐阜県,1226,UZUKI,岐阜県,0,,未設定
5th style,RIDE ON THE LIGHT (HI GREAT MIX) †,0,,未設定,0,,未設定,1781,Y.Y,岐阜県
5th style,RIDE ON THE LIGHT (HI GREAT MIX),748,KYO*,岐阜県,982,YUE.*,岐阜県,1677,NOY,岐阜県
5th style,Regulus,772,L,岐阜県,1444,TUTTYO,岐阜県,1659,NOY,岐阜県
5th style,Real,1117,SWOOPS,岐阜県,1390,HAL,岐阜県,1758,SWOOPS,岐阜県
5th style,Radical Faith,981,ONOZU,岐阜県,1347,SIGURE,岐阜県,1274,SINOBU,岐阜県
5th style,QQQ,1120,U-REI.,岐阜県,1876,NOY,岐阜県,2120,NOY,岐阜県
5th style,outer wall,709,9ZUHA,岐阜県,1267,A,岐阜県,1723,K.,岐阜県
