バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,782,MSY-8,大阪府,1028,.-.,大阪府,1154,IMOTO*,大阪府
1st&substream,RUGGED ASH,370,IMOTO*,大阪府,402,IMOTO*,大阪府,1078,*RK*,大阪府
1st&substream,R3,641,MSY-8,大阪府,736,IMOTO*,大阪府,898,IMOTO*,大阪府
1st&substream,PARANOIA MAX～DIRTY MIX～,531,YAKUMO,大阪府,735,TA28,大阪府,1106,96NEKO,大阪府
1st&substream,Macho Gang,382,IMOTO*,大阪府,1040,GINCH4,大阪府,1640,EXEC-Z,大阪府
1st&substream,KEEP ON MOVIN',196,IMOTO*,大阪府,244,IMOTO*,大阪府,0,,未設定
1st&substream,GRADIUSIC CYBER,879,IMOTO*,大阪府,994,8.,大阪府,1199,IMOTO*,大阪府
1st&substream,GENOM SCREAMS,422,IMOTO*,大阪府,830,IMOTO*,大阪府,1060,96NEKO,大阪府
1st&substream,GAMBOL,274,IMOTO*,大阪府,274,HIGA-C,大阪府,0,,未設定
1st&substream,Dr.LOVE,408,IMOTO*,大阪府,514,MSY-8,大阪府,579,IMOTO*,大阪府
1st&substream,deep in you,485,IMOTO*,大阪府,501,TA28,大阪府,663,EXEC-Z,大阪府
1st&substream,BRILLIANT 2U,540,IMOTO*,大阪府,659,IMOTO*,大阪府,722,EXEC-Z,大阪府
1st&substream,5.1.1.,198,IMOTO*,大阪府,1017,IMOTO*,大阪府,1564,96NEKO,大阪府
1st&substream,22DUNK,518,MSY-8,大阪府,635,8.,大阪府,655,IMOTO*,大阪府
2nd style,SP-TRIP MACHINE(for beatmania II),508,IMOTO*,大阪府,626,IMOTO*,大阪府,648,IMOTO*,大阪府
2nd style,PUT YOUR FAITH IN ME(for beatmania II),582,IMOTO*,大阪府,855,IMOTO*,大阪府,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),875,IMOTO*,大阪府,1125,IMOTO*,大阪府,1211,MACAOO,大阪府
2nd style,I Was The One,543,IMOTO*,大阪府,650,IMOTO*,大阪府,692,IMOTO*,大阪府
2nd style,Electro Tuned(the SubS mix),779,IMOTO*,大阪府,950,TA28,大阪府,1058,H.SRAN,大阪府
2nd style,Digital MinD(A/T Libra mix),720,MSY-8,大阪府,1044,TA28,大阪府,1125,IMOTO*,大阪府
2nd style,Dancin' Into The Night,432,IMOTO*,大阪府,470,IMOTO*,大阪府,0,,未設定
2nd style,.59,706,MSY-8,大阪府,996,-100K,大阪府,1143,IMOTO*,大阪府
3rd style,THE SAFARI,1199,TA28,大阪府,1761,VELVET,大阪府,0,,未設定
3rd style,Tangerine Stream,282,IMOTO*,大阪府,396,IMOTO*,大阪府,0,,未設定
3rd style,Skyscraper,743,IMOTO*,大阪府,1200,TA28,大阪府,1242,H.PRO,大阪府
3rd style,Schlagwerk,823,IMOTO*,大阪府,1318,IMOTO*,大阪府,1674,IMOTO*,大阪府
3rd style,REINCARNATION,848,IMOTO*,大阪府,1016,KMV.59,大阪府,1267,IMOTO*,大阪府
3rd style,R5,774,IMOTO*,大阪府,1160,IMOTO*,大阪府,1764,96NEKO,大阪府
3rd style,Presto,546,IMOTO*,大阪府,980,YMG-C,大阪府,1004,IMOTO*,大阪府
3rd style,LEADING CYBER,861,IMOTO*,大阪府,1200,*RK*,大阪府,1273,H.PRO,大阪府
3rd style,Holic,775,IMOTO*,大阪府,1210,YMG-C,大阪府,1711,EXEC-Z,大阪府
3rd style,era (nostalmix),838,MSY-8,大阪府,1093,EXEC-Z,大阪府,1519,MA,大阪府
3rd style,Don't Stop!,768,MSY-8,大阪府,853,TA28,大阪府,902,HIGA-C,大阪府
3rd style,CAN'T STOP FALLIN'IN LOVE,620,IMOTO*,大阪府,1245,*RULI*,大阪府,0,,未設定
4th style,Voltage (feat. Hidemaru),923,TA28,大阪府,1211,IMOTO*,大阪府,1318,EXEC-Z,大阪府
4th style,ULTRA HIGH-HEELS,744,TA28,大阪府,920,IMOTO*,大阪府,988,IMOTO*,大阪府
4th style,SWEET LAB,542,MSY-8,大阪府,935,MSY-8,大阪府,1349,H.PRO,大阪府
4th style,starmine,912,IMOTO*,大阪府,1381,MOZI,大阪府,1575,96NEKO,大阪府
4th style,Nasty!,574,TA28,大阪府,952,TA28,大阪府,1554,EXEC-Z,大阪府
4th style,Mr.T.(take me higher),843,MSY-8,大阪府,1015,IMOTO*,大阪府,1756,4NOBI!,大阪府
4th style,minimalian,535,TA28,大阪府,1090,*RK*,大阪府,1400,IMOTO*,大阪府
4th style,LOVE WILL・・・,557,TA28,大阪府,756,TA28,大阪府,1463,TA28,大阪府
4th style,KAMIKAZE,1027,IMOTO*,大阪府,1467,TA28,大阪府,2277,VELVET,大阪府
4th style,Jam&Marmalade,772,IMOTO*,大阪府,904,IMOTO*,大阪府,1015,IMOTO*,大阪府
4th style,Hitch Hiker2,833,IMOTO*,大阪府,1207,IMOTO*,大阪府,1309,IMOTO*,大阪府
4th style,HIGHER,540,IMOTO*,大阪府,931,IMOTO*,大阪府,1276,IMOTO*,大阪府
4th style,FLOWERS for ALBION,241,MSY-8,大阪府,435,H.PRO,大阪府,0,,未設定
4th style,era (step mix),1097,TA28,大阪府,1372,MOZI,大阪府,1678,RICO,大阪府
4th style,empathy,816,TA28,大阪府,1352,TA28,大阪府,1441,8.,大阪府
4th style,DXY!,1298,IMOTO*,大阪府,1867,96NEKO,大阪府,2245,EXEC-Z,大阪府
4th style,Clione†,0,,未設定,0,,未設定,2159,EXEC-Z,大阪府
