バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,695,MOTYO,シンガポール,1038,NOWARU,シンガポール,1136,KRAG20,シンガポール
1st&substream,RUGGED ASH,357,QUARTZ,シンガポール,395,LACERR,シンガポール,871,OUDON,シンガポール
1st&substream,R3,341,BISCO,シンガポール,0,,未設定,856,NOWARU,シンガポール
1st&substream,PARANOIA MAX～DIRTY MIX～,541,LACERR,シンガポール,0,,未設定,1029,INDEX,シンガポール
1st&substream,Macho Gang,356,NOWARU,シンガポール,0,,未設定,1559,NOWARU,シンガポール
1st&substream,KEEP ON MOVIN',188,LACERR,シンガポール,238,INDEX,シンガポール,0,,未設定
1st&substream,GRADIUSIC CYBER,350,SOMBRA,シンガポール,926,LACERR,シンガポール,1062,MOTYO,シンガポール
1st&substream,GENOM SCREAMS,1,LACERR,シンガポール,0,,未設定,1032,NOWARU,シンガポール
1st&substream,GAMBOL,264,LACERR,シンガポール,265,INDEX,シンガポール,0,,未設定
1st&substream,Dr.LOVE,299,FITCH,シンガポール,507,LACERR,シンガポール,555,NOWARU,シンガポール
1st&substream,deep in you,0,,未設定,460,D!!!!!,シンガポール,624,NOWARU,シンガポール
1st&substream,BRILLIANT 2U,511,NOWARU,シンガポール,602,MOTYO,シンガポール,708,NOWARU,シンガポール
1st&substream,5.1.1.,188,NOWARU,シンガポール,990,NOWARU,シンガポール,1548,NOWARU,シンガポール
1st&substream,22DUNK,0,,未設定,632,LACERR,シンガポール,0,,未設定
2nd style,SP-TRIP MACHINE(for beatmania II),462,QUARTZ,シンガポール,0,,未設定,622,D!!!!!,シンガポール
2nd style,PUT YOUR FAITH IN ME(for beatmania II),333,JAY,シンガポール,827,NOWARU,シンガポール,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),643,RASIN,シンガポール,717,BISCO,シンガポール,1182,NOWARU,シンガポール
2nd style,I Was The One,498,QUARTZ,シンガポール,563,SCK.AA,シンガポール,663,LACERR,シンガポール
2nd style,Electro Tuned(the SubS mix),0,,未設定,857,D!!!!!,シンガポール,1016,FIRA,シンガポール
2nd style,Digital MinD(A/T Libra mix),47,LACERR,シンガポール,0,,未設定,1011,LACERR,シンガポール
2nd style,Dancin' Into The Night,393,QUARTZ,シンガポール,454,NOWARU,シンガポール,0,,未設定
2nd style,.59,2,LACERR,シンガポール,950,NOWARU,シンガポール,1114,KRAG20,シンガポール
3rd style,THE SAFARI,1030,123N,シンガポール,1730,NOWARU,シンガポール,0,,未設定
3rd style,Tangerine Stream,273,LACERR,シンガポール,367,MOTYO,シンガポール,0,,未設定
3rd style,Skyscraper,0,,未設定,854,0005,シンガポール,1150,D!!!!!,シンガポール
3rd style,Schlagwerk,0,,未設定,1115,SCK.AA,シンガポール,1526,FIRA,シンガポール
3rd style,REINCARNATION,0,,未設定,967,D!!!!!,シンガポール,1064,BLOO.,シンガポール
3rd style,R5,510,BISCO,シンガポール,1124,NOWARU,シンガポール,1750,KRAG20,シンガポール
3rd style,Presto,256,RASIN,シンガポール,952,BMWZ4,シンガポール,962,BMWZ4,シンガポール
3rd style,LEADING CYBER,0,,未設定,1107,D!!!!!,シンガポール,1182,INDEX,シンガポール
3rd style,Holic,244,SIRI,シンガポール,1155,13NC,シンガポール,1663,KRAG20,シンガポール
3rd style,era (nostalmix),672,YOLITA,シンガポール,1090,KRAG20,シンガポール,1449,KRAG20,シンガポール
3rd style,Don't Stop!,715,QUARTZ,シンガポール,0,,未設定,878,NOWARU,シンガポール
3rd style,CAN'T STOP FALLIN'IN LOVE,523,QUARTZ,シンガポール,1201,NOWARU,シンガポール,0,,未設定
4th style,Voltage (feat. Hidemaru),855,HOSHEY,シンガポール,1110,HOSHEY,シンガポール,1289,KRAG20,シンガポール
4th style,ULTRA HIGH-HEELS,0,,未設定,848,HOSHEY,シンガポール,977,NOWARU,シンガポール
4th style,SWEET LAB,0,,未設定,0,,未設定,1304,NOWARU,シンガポール
4th style,starmine,847,HOSHEY,シンガポール,1154,MOTYO,シンガポール,1551,NOWARU,シンガポール
4th style,Nasty!,168,ORIYM,シンガポール,836,QUARTZ,シンガポール,1453,INDEX,シンガポール
4th style,Mr.T.(take me higher),354,C0TA2,シンガポール,0,,未設定,1618,D!!!!!,シンガポール
4th style,minimalian,199,EXUSIA,シンガポール,908,OUDON,シンガポール,1336,YZR-M1,シンガポール
4th style,LOVE WILL・・・,0,,未設定,703,QUARTZ,シンガポール,1421,NOWARU,シンガポール
4th style,KAMIKAZE,372,C0TA2,シンガポール,0,,未設定,2216,NOWARU,シンガポール
4th style,Jam&Marmalade,0,,未設定,0,,未設定,992,BMWZ4,シンガポール
4th style,Hitch Hiker2,758,D!!!!!,シンガポール,0,,未設定,1242,INDEX,シンガポール
4th style,HIGHER,299,EXUSIA,シンガポール,335,C0TA2,シンガポール,1211,LACERR,シンガポール
4th style,FLOWERS for ALBION,231,LACERR,シンガポール,402,REST,シンガポール,0,,未設定
4th style,era (step mix),585,GG.COM,シンガポール,1278,MOTYO,シンガポール,1650,KRAG20,シンガポール
4th style,empathy,0,,未設定,1126,MOTYO,シンガポール,1294,D!!!!!,シンガポール
4th style,DXY!,0,,未設定,1527,OUDON,シンガポール,2147,KRAG20,シンガポール
4th style,Clione†,0,,未設定,0,,未設定,2107,NOWARU,シンガポール
4th style,Clione,170,ORIYM,シンガポール,0,,未設定,1585,NOWARU,シンガポール
4th style,CHECKING YOU OUT,633,NOWARU,シンガポール,833,NOWARU,シンガポール,1282,KRAG20,シンガポール
4th style,Burnin' The Floor,71,PLSPAT,シンガポール,245,POPO*,シンガポール,1408,NOWARU,シンガポール
4th style,Broken My Heart,469,YU-NO,シンガポール,1298,QUARTZ,シンガポール,1763,NOWARU,シンガポール
4th style,B4U,894,QUARTZ,シンガポール,1203,OUDON,シンガポール,1955,NOWARU,シンガポール
4th style,ABSOLUTE†,0,,未設定,0,,未設定,2630,NOWARU,シンガポール
4th style,ABSOLUTE,1031,0005,シンガポール,1511,XYZ,シンガポール,2311,KRAG20,シンガポール
4th style,250bpm,0,,未設定,814,OUDON,シンガポール,1290,BMWZ4,シンガポール
5th style,V,1083,QUARTZ,シンガポール,2490,KRAG20,シンガポール,2909,NOWARU,シンガポール
5th style,THE SHINING POLARIS,0,,未設定,1101,QUARTZ,シンガポール,1443,D!!!!!,シンガポール
5th style,THE CUBE,0,,未設定,1199,D!!!!!,シンガポール,1302,KRAG20,シンガポール
5th style,sync,832,RASIN,シンガポール,1588,QUARTZ,シンガポール,2328,NOWARU,シンガポール
5th style,still my words,854,D!!!!!,シンガポール,1115,LACERR,シンガポール,0,,未設定
5th style,STILL IN MY HEART,901,HOSHEY,シンガポール,1198,D!!!!!,シンガポール,1879,NOWARU,シンガポール
5th style,Spin the disc,0,,未設定,1236,NOWARU,シンガポール,1269,NOWARU,シンガポール
5th style,RISLIM,0,,未設定,1209,KRAG20,シンガポール,0,,未設定
5th style,RIDE ON THE LIGHT (HI GREAT MIX) †,0,,未設定,0,,未設定,1769,NOWARU,シンガポール
5th style,RIDE ON THE LIGHT (HI GREAT MIX),0,,未設定,0,,未設定,1634,REST,シンガポール
5th style,Regulus,915,QUARTZ,シンガポール,1276,QUARTZ,シンガポール,1591,YZR-M1,シンガポール
5th style,Real,1020,HOSHEY,シンガポール,1525,D!!!!!,シンガポール,1726,NOWARU,シンガポール
5th style,Radical Faith,1122,HOSHEY,シンガポール,0,,未設定,0,,未設定
