バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,711,BLSKY#,海外,980,R10K,海外,1110,IIDX25,海外
1st&substream,RUGGED ASH,358,3352G,海外,389,A*NAL,海外,1045,DOSU51,海外
1st&substream,R3,573,KIL,海外,671,KATANA,海外,854,SYM,海外
1st&substream,PARANOIA MAX～DIRTY MIX～,501,NIK.S8,海外,679,IIDX24,海外,1058,U.N.K,海外
1st&substream,Macho Gang,347,DATU,海外,937,LILIAN,海外,1593,YU*KEY,海外
1st&substream,KEEP ON MOVIN',189,*ITO.*,海外,242,SAUNA,海外,0,,未設定
1st&substream,GRADIUSIC CYBER,768,AYY.L,海外,884,LYCOS,海外,1104,ELISE*,海外
1st&substream,GENOM SCREAMS,313,???,海外,729,MAIAMI,海外,1048,NIK.S8,海外
1st&substream,GAMBOL,268,SAUNA,海外,268,IIDX25,海外,0,,未設定
1st&substream,Dr.LOVE,379,KA8020,海外,492,KATANA,海外,564,ELISE*,海外
1st&substream,deep in you,477,SYM,海外,420,LILIAN,海外,655,IIDX25,海外
1st&substream,BRILLIANT 2U,476,NIK.S8,海外,580,BLSKY#,海外,716,IIDX25,海外
1st&substream,5.1.1.,194,3N,海外,973,EVE,海外,1553,NIK.S8,海外
1st&substream,22DUNK,439,KA8020,海外,572,-O-,海外,654,NIK.S8,海外
2nd style,SP-TRIP MACHINE(for beatmania II),430,MOCKBA,海外,593,LYCOS,海外,627,SAUNA,海外
2nd style,PUT YOUR FAITH IN ME(for beatmania II),536,DATU,海外,823,U.N.K,海外,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),838,SANADA,海外,1033,SANADA,海外,1212,NIK.S8,海外
2nd style,I Was The One,511,DATU,海外,622,AELLY7,海外,678,MS0NG5,海外
2nd style,Electro Tuned(the SubS mix),504,M4RDI,海外,829,CRAM,海外,1033,ELISE*,海外
2nd style,Digital MinD(A/T Libra mix),688,AMURO,海外,966,KATANA,海外,1059,3N,海外
2nd style,Dancin' Into The Night,221,CLKISO,海外,461,ELISE*,海外,0,,未設定
2nd style,.59,627,???,海外,871,MEL###,海外,1094,ELISE*,海外
3rd style,THE SAFARI,1116,KATANA,海外,1714,ALFYN,海外,0,,未設定
3rd style,Tangerine Stream,267,LYCOS,海外,384,MIDORI,海外,0,,未設定
3rd style,Skyscraper,0,,未設定,1063,CRAM,海外,1154,SLAGA,海外
3rd style,Schlagwerk,412,MIXMAX,海外,1245,FTR,海外,1604,MIDORI,海外
3rd style,REINCARNATION,620,GANDHI,海外,1001,RAYBAL,海外,1228,RAYBAL,海外
3rd style,R5,726,PARIS4,海外,1107,PROG,海外,1766,NIK.S8,海外
3rd style,Presto,382,VINCE,海外,950,IIDX25,海外,974,U.N.K,海外
3rd style,LEADING CYBER,491,SUZUME,海外,1147,GMOVER,海外,1224,3N,海外
3rd style,Holic,689,ANABKI,海外,1045,IIDX24,海外,1640,MS0NG5,海外
3rd style,era (nostalmix),819,PROG,海外,1072,ALFYN,海外,1480,NIK.S8,海外
3rd style,Don't Stop!,631,BEC051,海外,824,MIGITE,海外,894,PROG,海外
3rd style,CAN'T STOP FALLIN'IN LOVE,438,GRAHAM,海外,1229,ALFYN,海外,0,,未設定
